t,lat,lon
0.0,47.06422,15.45291
5.02,47.064223414802896,15.452919283014475
7.54,47.06421967920214,15.452928295827563
8.21,47.06421572299497,15.452937103425834
9.0,47.06420919168544,15.452941504646388
10.72,47.06420463363335,15.452933348043029
11.44,47.064201012741954,15.452924234899372
13.95,47.06420624519136,15.452917003001168
14.67,47.064212801135206,15.452912681436235
17.34,47.064217004397115,15.452921238849992
18.07,47.064219854040054,15.452930924121716
18.81,47.064223908084,15.45293963530986
22.05,47.06422054502528,15.452948958947315
22.73,47.064215409084106,15.4529563384401
23.4,47.06420915600785,15.452961538124407
24.05,47.06420280926873,15.452966487198877
24.64,47.064197206451105,15.452973094137676
25.25,47.064192156965724,15.452980601112467
25.88,47.06418972727844,15.452990529987378
26.52,47.06418941507487,15.453001070156661
27.1,47.06418933091434,15.453011619562679
27.69,47.06418857737565,15.453022111535418
28.28,47.06418770902592,15.45303258436581
28.87,47.06418753225842,15.453043131302978
29.44,47.06418735321071,15.453053678157218
30.0,47.06418638668034,15.453064132434875
30.57,47.06418467089865,15.453074377465468
31.14,47.06418322533643,15.453084711956182
31.72,47.06418305779824,15.453095259217124
32.29,47.064184469447355,15.45310560380602
32.86,47.064185924447855,15.453115935441774
33.46,47.06418889912534,15.453125539342441
34.04,47.064192903842724,15.453134299559766
34.64,47.06419747870081,15.453142435857956
35.22,47.064202832804334,15.453149473238696
35.84,47.06420843047028,15.453156089581748
36.44,47.064214542620896,15.453161638656704
37.03,47.06422147267832,15.453164431958673
37.61,47.06422865740077,15.453164195855416
38.2,47.06423575224648,15.453162516071606
38.76,47.06424267651143,15.453159691979682
39.32,47.06424974684588,15.453157802546034
39.89,47.06425692609823,15.45315732811968
40.47,47.06426410850866,15.45315768495721
41.06,47.064271073832636,15.45315508756783
41.64,47.06427786783268,15.453151648557293
42.23,47.06428465960052,15.453148200056999
42.83,47.064291701487534,15.45314609407307
43.42,47.06429848344826,15.453142604222988
44.01,47.064305368493486,15.453139580525951
44.61,47.06431173984263,15.453134700067254
45.2,47.06431801968131,15.453129570354875
45.8,47.06432360551991,15.453122932489961
46.42,47.064329468721674,15.453116831879534
47.02,47.06433471087792,15.453109615129799
47.65,47.06433640229685,15.453106535084638
48.34,47.06433667317688,15.453102598811366
49.05,47.0643361473793,15.453098718532859
49.69,47.06433532042077,15.453094953090948
50.32,47.064335459063905,15.453091002020516
50.92,47.06433581660151,15.453087080683677
51.55,47.064338238016184,15.453085343986098
52.19,47.06434050962642,15.45308321530647
52.91,47.06434254249199,15.453080617985375
53.5,47.06434422765274,15.453077530555632
54.17,47.06434487575647,15.45307369035551
