t,E,N
83.88,17.775946127357642,2.1601167656715257
84.45,17.018773648383167,2.4183605208402534
85.05,16.357108536528497,2.8680262630914775
85.66,15.682370783484902,3.2978273387272665
86.28,15.310562720564757,4.006176662399965
86.89,15.056073697975553,4.764619367804659
87.49,14.893844149098662,5.547997675821419
88.08,14.559370229820521,6.274721280311269
88.66,14.250994330414219,7.012897617418707
89.24,13.697911125667172,7.590910565912714
89.83,13.370842612152147,8.320996990568776
90.43,13.002382267963734,9.031093445116014
91.05,13.230085211736949,9.798003719787706
91.63,13.537880419383267,10.53642237485403
92.23,13.665043001119091,11.326251266327544
92.8,13.825011826288925,12.110094346907951
93.44,14.18320285190355,12.825425870866699
94.02,14.48863189386477,13.564826371493153
94.61,14.767358254093915,14.31470077171856
95.18,14.831507140538182,15.112124699355522
95.8,15.032717070251655,15.886407957720767
96.38,15.175440883387571,16.67357370466606
96.96,15.184163802920967,17.473526147424263
97.53,14.957269080203792,18.240675927325878
98.1,14.89542357661463,19.038281803486406
98.68,14.77339315269757,19.82891988480973
99.3,14.513614234218947,20.585567037394128
99.87,14.085795372446151,21.261563355070066
100.48,13.858596266826547,22.028623044015884
101.05,13.632371992573104,22.79597079942962
101.63,13.604375848427601,23.595480784303472
102.22,13.713704677680052,24.387975078979647
102.84,13.802413129437832,25.18304162373344
103.41,14.002830486308364,25.957530411944756
104.0,14.311458064799908,26.695601558782542
104.58,14.867489047565416,27.270779397546193
105.17,15.342131156917256,27.914762990528214
105.74,15.889013273292315,28.498646498420957
106.34,16.573198230731744,28.91324382597337
106.92,17.368848382032976,28.82993214171284
107.53,18.117988900454677,28.549239278143308
108.12,18.752561843859862,28.06208716689049
108.73,19.111413809130422,27.34708698016222
109.33,19.097852222578894,26.547201936315165
110.0,18.648634013075323,25.88523290361771
110.66,17.896106763392993,25.613750420784015
111.32,17.602924294730606,25.55015765335698
112.09,17.310042104839226,25.485195950451118
112.74,17.02982094957668,25.378069370447253
113.3,16.736524426363566,25.315004725271866
113.84,16.444409404340522,25.246676005772102
114.39,16.14444162722283,25.242279110154804
114.92,15.847773766373493,25.197690094253137
115.49,15.548017786854825,25.18559246048436
116.05,15.250984729992856,25.143504895441527
116.61,14.956811885095727,25.08466326625666
117.14,14.673425847290254,24.98621351472363
117.68,14.390716627806961,24.88583673842977
118.22,14.14650132884641,24.71159871802777
118.76,13.988046167189271,24.456859710916156
119.41,14.0082323286902,24.157539616562538
120.04,14.106630532302747,23.87413567600097
