t,x,y,latitude,longitude
0.0,0.0,0.0,47.06422,15.45291
0.008332999999999924,0.0001099999999999,-2.5999999999998247e-05,47.06422000098814,15.452909999657118
0.016666999999999987,0.000202,-8.899999999999186e-05,47.0642200018146,15.452909998826296
0.02499999999999991,0.000288,-0.0001849999999999,47.06422000258715,15.452909997560278
0.033332999999999835,0.000376,-0.0003099999999999,47.06422000337766,15.45290999591182
0.041666999999999906,0.000469,-0.000447,47.06422000421311,15.452909994105108
0.04999999999999982,0.000534,-0.000613,47.06422000479701,15.452909991915954
0.05833300000000019,0.000586,-0.0007849999999999,47.064220005264126,15.452909989647674
0.0666669999999998,0.000613,-0.0009009999999999,47.06422000550667,15.452909988117904
0.07500000000000016,0.000653,-0.001043,47.064220005866,15.452909986245254
0.0833330000000001,0.000647,-0.0010919999999999,47.0642200058121,15.452909985599057
0.09166700000000015,0.000653,-0.001223,47.064220005866,15.452909983871471
0.10000000000000009,0.00066,-0.0013419999999999,47.06422000592888,15.452909982302138
0.108333,0.0006659999999999,-0.0014599999999999,47.064220005982776,15.452909980745996
0.11666700000000009,0.000685,-0.0016689999999999,47.064220006153455,15.452909977989773
0.125,0.000648,-0.001763,47.064220005821085,15.452909976750131
0.13333299999999992,0.0006379999999999,-0.001916,47.06422000573125,15.45290997473242
0.14166699999999996,0.000596,-0.0020299999999999,47.06422000535396,15.452909973229024
0.1499999999999999,0.000583,-0.0020769999999999,47.064220005237175,15.452909972609204
0.15833299999999983,0.000557,-0.0021419999999999,47.06422000500362,15.452909971752009
0.1666669999999999,0.000537,-0.0022159999999999,47.06422000482395,15.45290997077612
0.17499999999999982,0.000512,-0.0022829999999999,47.06422000459938,15.452909969892549
0.1833330000000002,0.000489,-0.0023049999999999,47.06422000439276,15.452909969602416
0.1916669999999998,0.000497,-0.0024239999999999,47.06422000446463,15.452909968033085
0.20000000000000018,0.000508,-0.0025099999999999,47.06422000456344,15.452909966898943
0.2083330000000001,0.000489,-0.0025939999999999,47.06422000439276,15.45290996579118
0.21666700000000017,0.000477,-0.0026549999999999,47.06422000428496,15.452909964986732
0.2250000000000001,0.000485,-0.0027259999999999,47.064220004356834,15.452909964050408
0.23333300000000004,0.000477,-0.0028339999999999,47.06422000428496,15.45290996262614
0.24166700000000008,0.000454,-0.0028639999999999,47.06422000407835,15.45290996223051
0.25,0.000466,-0.0029839999999999,47.06422000418615,15.452909960647991
0.2583329999999999,0.000506,-0.0031609999999999,47.06422000454547,15.452909958313771
0.266667,0.000492,-0.0032219999999999,47.0642200044197,15.452909957509323
0.2749999999999999,0.000552,-0.0033819999999999,47.06422000495869,15.452909955399296
0.28333299999999983,0.000586,-0.0035389999999999,47.064220005264126,15.452909953328833
0.2916669999999999,0.000611,-0.0036129999999999,47.0642200054887,15.452909952352943
0.2999999999999998,0.000662,-0.0037879999999999,47.06422000594685,15.452909950045102
0.3083330000000002,0.000696,-0.0039029999999999,47.06422000625227,15.452909948528522
0.3166669999999998,0.0007199999999999,-0.0040239999999999,47.06422000646787,15.452909946932817
0.3250000000000002,0.000754,-0.0041399999999999,47.0642200067733,15.452909945403045
0.3333330000000001,0.000816,-0.0042899999999999,47.06422000733025,15.452909943424896
0.34166700000000017,0.000857,-0.0043959999999999,47.06422000769856,15.452909942027004
0.3500000000000001,0.000917,-0.0045399999999999,47.06422000823755,15.45290994012798
0.358333,0.000974,-0.0047079999999999,47.06422000874959,15.452909937912452
0.3666670000000001,0.001024,-0.0048729999999999,47.06422000919874,15.452909935736484
0.375,0.001084,-0.0049539999999999,47.06422000973773,15.452909934668282
0.3833329999999999,0.001121,-0.0051229999999999,47.06422001007011,15.452909932439566
0.391667,0.001147,-0.0052049999999999,47.064220010303664,15.452909931358176
0.3999999999999999,0.001157,-0.0052589999999999,47.0642200103935,15.452909930646042
0.4083329999999999,0.001175,-0.0052749999999999,47.0642200105552,15.45290993043504
0.4166669999999999,0.001173,-0.0052399999999999,47.064220010537234,15.452909930896608
0.4249999999999998,0.001213,-0.0052739999999999,47.06422001089656,15.452909930448229
0.4333330000000002,0.001254,-0.0052419999999999,47.06422001126487,15.452909930870232
0.4416669999999998,0.001302,-0.0052259999999999,47.06422001169607,15.452909931081232
0.4500000000000002,0.001381,-0.0052159999999999,47.06422001240573,15.452909931213108
0.4583330000000001,0.001555,-0.0052619999999999,47.06422001396881,15.452909930606475
0.46666700000000017,0.001639,-0.0052229999999999,47.06422001472339,15.452909931120791
0.4750000000000001,0.00179,-0.0051669999999999,47.06422001607984,15.452909931859304
0.483333,0.001927,-0.0050739999999999,47.06422001731054,15.452909933085756
0.4916670000000001,0.002029,-0.0050079999999999,47.06422001822682,15.452909933956144
0.5,0.0021079999999999,-0.0048729999999999,47.06422001893649,15.452909935736477
0.5083329999999999,0.00221,-0.0047749999999999,47.06422001985277,15.45290993702887
0.516667,0.002295,-0.0046629999999999,47.06422002061634,15.452909938505888
0.5249999999999999,0.002359,-0.0044699999999999,47.06422002119126,15.452909941051107
0.5333329999999998,0.002444,-0.0043939999999999,47.06422002195482,15.45290994205337
0.5416669999999999,0.002354,-0.0043459999999999,47.06422002114634,15.452909942686375
0.5499999999999998,0.002481,-0.0043809999999999,47.0642200222872,15.452909942224808
0.5583330000000002,0.002574,-0.0043039999999999,47.06422002312264,15.45290994324026
0.5666669999999998,0.002665,-0.0041799999999999,47.0642200239401,15.452909944875527
0.5750000000000002,0.002798,-0.0040479999999999,47.06422002513486,15.4529099466163
0.5833330000000001,0.002883,-0.0039969999999999,47.06422002589843,15.45290994728887
0.5916670000000002,0.002993,-0.0039489999999999,47.064220026886574,15.452909947921876
0.6000000000000001,0.003092,-0.0039229999999999,47.06422002777591,15.452909948264756
0.608333,0.003162,-0.0038329999999999,47.06422002840473,15.452909949451646
0.6166670000000001,0.003261,-0.0038069999999999,47.06422002929406,15.452909949794526
0.625,0.003349,-0.0037619999999999,47.06422003008458,15.45290995038797
0.6333329999999999,0.003392,-0.0037009999999999,47.064220030470864,15.452909951192416
0.641667,0.0034679999999999,-0.0036979999999999,47.06422003115358,15.45290995123198
0.6499999999999999,0.003519,-0.0036939999999999,47.064220031611725,15.452909951284733
0.6583329999999998,0.003558,-0.0037039999999999,47.06422003196207,15.452909951152854
0.6666669999999999,0.003605,-0.0037349999999999,47.06422003238428,15.452909950744036
0.6749999999999998,0.003648,-0.0037529999999999,47.06422003277055,15.452909950506658
0.6833330000000002,0.003717,-0.0038199999999999,47.06422003339039,15.452909949623084
0.6916669999999998,0.003762,-0.0038859999999999,47.06422003379463,15.452909948752698
0.7000000000000002,0.003784,-0.0039089999999999,47.06422003399226,15.45290994844938
0.7083330000000001,0.003849,-0.0039959999999999,47.06422003457617,15.452909947302052
0.7166670000000002,0.003887,-0.0040689999999999,47.064220034917525,15.452909946339354
0.7250000000000001,0.003922,-0.0041499999999999,47.06422003523194,15.45290994527115
0.733333,0.003941,-0.0041969999999999,47.06422003540262,15.452909944651331
0.7416670000000001,0.003942,-0.0042569999999999,47.0642200354116,15.45290994386007
0.75,0.003951,-0.0043149999999999,47.06422003549245,15.452909943095184
0.7583329999999999,0.003943,-0.0044189999999999,47.06422003542058,15.452909941723664
0.766667,0.003909,-0.0044729999999999,47.06422003511516,15.45290994101153
0.7749999999999999,0.003898,-0.0045289999999999,47.06422003501634,15.45290994027302
0.7833329999999998,0.003905,-0.0046309999999999,47.06422003507922,15.452909938927878
0.7916669999999999,0.0039119999999999,-0.0046839999999999,47.0642200351421,15.452909938228933
0.7999999999999998,0.003913,-0.0047049999999999,47.06422003515108,15.452909937951992
0.8083330000000002,0.003934,-0.0047409999999999,47.06422003533973,15.452909937477235
0.8166669999999998,0.003962,-0.0047429999999999,47.06422003559126,15.45290993745086
0.8250000000000002,0.003975,-0.0047429999999999,47.06422003570804,15.45290993745086
0.8333330000000001,0.004032,-0.0047819999999999,47.06422003622008,15.452909936936544
0.8416670000000002,0.004069,-0.0048009999999999,47.064220036552456,15.452909936685977
0.8500000000000001,0.004151,-0.0048489999999999,47.06422003728907,15.452909936052968
0.858333,0.004215,-0.0048809999999999,47.064220037864,15.452909935630965
0.8666670000000001,0.004277,-0.0049339999999999,47.06422003842095,15.452909934932016
0.875,0.004346,-0.0049569999999999,47.064220039040784,15.4529099346287
0.8833329999999999,0.004411,-0.0050109999999999,47.06422003962469,15.452909933916564
0.891667,0.004441,-0.0050479999999999,47.06422003989419,15.45290993342862
0.8999999999999999,0.004463,-0.0050749999999999,47.06422004009181,15.452909933072553
0.908333,0.004509,-0.0051459999999999,47.06422004050504,15.45290993213623
0.916667,0.004549,-0.0052319999999999,47.06422004086436,15.452909931002091
0.9249999999999998,0.00461,-0.0052839999999999,47.064220041412334,15.452909930316332
0.9333330000000002,0.004633,-0.0053439999999999,47.06422004161895,15.45290992952507
0.9416669999999998,0.004665,-0.0054089999999999,47.06422004190641,15.452909928667871
0.9500000000000002,0.004696,-0.0055009999999999,47.064220042184886,15.452909927454606
0.958333,0.004725,-0.0055499999999999,47.0642200424454,15.45290992680841
0.966667,0.004784,-0.0056499999999999,47.06422004297541,15.452909925489644
0.975,0.004815,-0.0057039999999999,47.06422004325388,15.452909924777508
0.983333,0.004888,-0.0057589999999999,47.06422004390966,15.452909924052186
0.9916670000000001,0.004974,-0.0058359999999999,47.06422004468221,15.452909923036737
1.0,0.0050499999999999,-0.0061399999999999,47.06422004536493,15.452909919027684
1.0083330000000004,0.005198,-0.0062719999999999,47.06422004669443,15.452909917286911
1.016667,0.005242,-0.0063249999999999,47.06422004708969,15.452909916587966
1.0250000000000004,0.005265,-0.0063739999999999,47.0642200472963,15.45290991594177
1.033333,0.005294,-0.0064409999999999,47.064220047556816,15.452909915058196
1.0416670000000003,0.005242,-0.0065519999999999,47.0642200470897,15.452909913594366
1.0499999999999998,0.005276,-0.0066229999999999,47.064220047395125,15.452909912658042
1.0583330000000002,0.005335,-0.0067449999999999,47.06422004792513,15.452909911049144
1.0666669999999998,0.005384,-0.0068559999999999,47.06422004836531,15.452909909585314
1.0750000000000002,0.005432,-0.0069889999999999,47.0642200487965,15.452909907831351
1.0833329999999997,0.005484,-0.0068889999999999,47.064220049263625,15.45290990915012
1.091667,0.005392,-0.0069079999999999,47.06422004843718,15.452909908899551
1.0999999999999996,0.005379,-0.0069249999999999,47.0642200483204,15.45290990867536
1.108333,0.005378,-0.0069819999999999,47.06422004831141,15.452909907923662
1.1166669999999996,0.005358,-0.0070369999999999,47.06422004813175,15.45290990719834
1.125,0.005365,-0.0071359999999999,47.06422004819463,15.45290990589276
1.1333330000000004,0.005373,-0.0072469999999999,47.06422004826649,15.45290990442893
1.141667,0.005362,-0.0073669999999999,47.06422004816768,15.45290990284641
1.1500000000000004,0.005385,-0.0075209999999999,47.064220048374295,15.452909900815508
1.158333,0.005405,-0.0075189999999999,47.06422004855396,15.452909900841885
1.1666670000000003,0.0054389999999999,-0.0075239999999999,47.06422004885939,15.452909900775945
1.1749999999999998,0.005429,-0.0075519999999999,47.06422004876956,15.452909900406688
1.1833330000000002,0.0054109999999999,-0.0075789999999999,47.06422004860786,15.452909900050622
1.1916669999999998,0.005464,-0.0075309999999999,47.06422004908397,15.452909900683627
1.2000000000000002,0.005504,-0.0075519999999999,47.06422004944329,15.452909900406688
1.2083329999999997,0.005513,-0.0075099999999999,47.06422004952415,15.45290990096057
1.216667,0.005568,-0.0074979999999999,47.06422005001821,15.45290990111882
1.2249999999999996,0.005602,-0.0074709999999999,47.06422005032365,15.452909901474888
1.233333,0.00565,-0.0074689999999999,47.06422005075484,15.452909901501265
1.2416669999999996,0.005686,-0.0074509999999999,47.06422005107823,15.45290990173864
1.25,0.005732,-0.0074579999999999,47.06422005149145,15.45290990164633
1.2583330000000004,0.005757,-0.0074399999999999,47.06422005171604,15.452909901883706
1.266667,0.005805,-0.0074509999999999,47.06422005214723,15.45290990173864
1.2750000000000004,0.005743,-0.0075239999999999,47.06422005159028,15.45290990077594
1.283333,0.005864,-0.0074899999999999,47.06422005267724,15.452909901224324
1.2916670000000003,0.005921,-0.0075249999999999,47.06422005318928,15.452909900762757
1.2999999999999998,0.0059659999999999,-0.0075979999999999,47.06422005359352,15.452909899800057
1.3083330000000002,0.006019,-0.0076689999999999,47.06422005406963,15.452909898863732
1.3166669999999998,0.00606,-0.0077529999999999,47.06422005443793,15.452909897755967
1.3250000000000002,0.006096,-0.0077919999999999,47.06422005476133,15.452909897241648
1.3333329999999997,0.00613,-0.0078379999999999,47.06422005506676,15.452909896635015
1.341667,0.006127,-0.0078179999999999,47.06422005503981,15.452909896898769
1.3499999999999996,0.006168,-0.0078659999999999,47.064220055408114,15.452909896265762
1.358333,0.006194,-0.0078759999999999,47.06422005564167,15.452909896133889
